id,localidad,direccion,marca,telefono,horario,latitud,longitud,fecha
37376,Hu&eacute;rcal de Almeria,CR N-340 A. 446.5,Repsol,950 144 173,Cerrado Noches,36.87495,-2.445126,2014-03-14
37377,Andujar,CR A-4 KM 326 M.I,Repsol,953 500 912,L-D: 24 Horas,38.029704,-4.079922,2014-02-11
37378,Antequera,CL EL EFEBO N&deg; 1,Repsol,952 703 700,L-D: 24 Horas,37.029486,-4.534683,2014-03-10
37379,Ayamonte,CL RIBERA DEL GUADIANA PARC. 112,Cepsa,959 320 064,Lunes a Sabado de 8h a 15h. Cerrado Domingos y Festivos,37.232233,-7.392492,2015-07-15
37381,Cantillana,Ctra. A-805. Km21. 300,Vitogas,955 952 056,L-D: 24 Horas,37.575457,-5.808284,2014-02-19
37382,Churriana,CR C-344 PK 89.9,BP,952 490 358,L-D: 24 Horas,36.660897,-4.502379,2014-02-19
37383,Cordoba,C/ San Alberto Magno s/n. (almac&eacute;n de butano - zona Urende Aeropuerto).,Repsol,957 231 719,L-V:07:30 a 13:30 y de 16:30 a 21:00 S:07:30 a 13:00 FESTIVOS: Cerrado,37.86956,-4.800534,2014-02-19
37384,Cordoba,Ctra. Palma del R&iacute;o. Km. 4 M.I. - Centro Transporte Mercanc&iacute;as,Repsol,957 22 78 46,L-D: 24 horas,37.876988,-4.841453,2014-02-19
37385,Cordoba,Avenida de la igualdad S/N,Repsol,957 256 099,L-D: 24 Horas,37.897341,-4.766562,2014-02-19
37386,El Ejido,CL AVENIDA OASIS - BO. STO.DOMINGO. S.,Repsol,950 482 236,Cerrado Noches,36.758424,-2.805377,2014-02-19
37387,Fuengirola,AV Las Salinas-Loma Baja. S.N,Repsol,952 197 195,Cerrado Noches,36.500262,-4.68596,2014-02-19
37388,Granada,Carretera Antigua de M&aacute;laga. km 4. Pago de Fatinafar.,Repsol,958 294 000,L-V: 08:00 a 21:00 S: 08:00 a 14:00 FESTIVOS: 08:00 a 14:00,37.19075,-3.636306,2014-02-19
37389,Granada,AVENIDA DE LAS ALPUJARRAS S/N,Repsol,,L-D: 24 Horas,37.18386,-3.624074,2014-03-10
37390,Guarroman,CR N-4. 280,Repsol,953 616 162,L-D: 24 Horas,38.196506,-3.673045,2014-02-19
37391,Guillena,CR N-630. 799,Repsol,955 785 023,L-D: 24 Horas,37.508041,-6.074348,2014-02-19
37392,Huelva,C/ Isaac Alb&eacute;niz. 2. 21001,Repsol,959 262 100,L-V: 08:00 a 21:00 S: 08:00 a 14:00 FESTIVOS: Cerrado,37.239041,-6.952461,2014-02-19
37393,Huelva,CL CERCO. 2. POLIGONO PESQUERO NORTE,Repsol,959 254 138,Cerrado Ncohes,37.267432,-6.958268,2014-02-19
37394,Jaen,CR N-321. 58.8,Repsol,953 243 995,L-D: 24 Horas,37.777906,-3.811594,2014-02-19
37395,Jerez de la Frontera,Carretera Jerez Los Barrios Km 2.2 hijuela toc&oacute;n,Repsol,956 810 862,L-V: 9:00 a 13:00 y 14:00 a 16:00 (del 15/06 a 15/09 de 9:00 a 15:00) S: 9:00 a 13:00 FESTIVOS: Cerrado,36.664417,-6.113078,2014-02-19
